Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1654.4072673283613,OUT049
FDW14,1368.3972624241758,OUT017
NCN55,575.7671195222418,OUT010
FDQ58,2440.172426781445,OUT017
FDY38,5840.289341017683,OUT027
FDH56,1921.3108983534144,OUT046
FDL48,758.0972399255392,OUT018
FDC48,2129.9937370673674,OUT027
FDN33,1507.8479441218608,OUT045
FDA36,3102.9294557696244,OUT017
FDT44,1917.081019603894,OUT017
FDQ56,1357.8410895415773,OUT045
NCC54,576.6324018798302,OUT019
FDU11,2003.4703876817025,OUT049
DRL59,878.5187963651241,OUT013
FDM24,2430.986076165304,OUT049
FDI57,3041.6363612924347,OUT045
DRC12,2954.118861897647,OUT018
NCM42,2912.729882933983,OUT027
FDA46,504.3089676852367,OUT010
FDA31,2868.0740283613895,OUT013
NCJ31,3826.8851227771192,OUT035
FDG52,806.2140624427713,OUT046
NCL19,287.5299213296379,OUT019
FDS10,2963.1266791822445,OUT035
FDX22,569.2767685450286,OUT010
NCF19,766.3305411187748,OUT035
NCE06,2526.3676475958778,OUT046
DRC27,3887.206405526707,OUT046
FDE21,1959.7564219062083,OUT035
NCR42,131.16278318839676,OUT019
FDX51,3017.3335737978896,OUT018
NCR06,614.2155257756472,OUT018
FDU31,5840.289341017683,OUT027
FDU59,2520.3512575236796,OUT017
FDR03,5836.500377130486,OUT027
FDS49,2036.1109752420339,OUT027
FDD48,265.9522654700372,OUT010
NCF18,3009.8890293061436,OUT017
NCD43,2857.1262913077358,OUT027
NCD54,2141.804849698464,OUT018
FDY19,266.34081996681806,OUT010
NCY54,2857.6180038578036,OUT017
NCL19,2472.48239157569,OUT018
FDP23,575.5799905254149,OUT010
FDC26,1734.5923811447076,OUT013
FDR14,131.16278318839676,OUT010
NCS41,3116.341127508798,OUT035
FDF41,3824.7514193892125,OUT035
FDU34,2037.9057821154465,OUT046
DRH11,973.9123864236041,OUT046
FDM03,1654.0919562306924,OUT013
FDS31,3050.04420807651,OUT017
FDJ20,1994.0583643069476,OUT017
FDV44,5094.410314388672,OUT027
FDG02,3108.2804828572403,OUT049
FDA09,2996.320348928739,OUT013
FDT04,711.1721757470489,OUT013
FDL58,575.3763312351854,OUT019
FDE52,1384.9806082519426,OUT045
FDW12,2435.0252471510034,OUT035
FDL51,3629.086858239395,OUT017
NCY42,3019.7149653224187,OUT027
FDR07,1530.0112662913334,OUT017
FDN40,2434.718977519951,OUT045
FDB35,2706.5763513500583,OUT027
FDA22,2511.818857491185,OUT017
NCL06,4163.9502607341865,OUT046
FDI35,3075.1918551298977,OUT013
NCW42,3717.5568748458218,OUT045
NCX06,2983.7241330440343,OUT049
FDC37,2879.5232635269304,OUT027
FDZ14,1956.7956331952173,OUT018
DRG49,3887.7346505225332,OUT049
NCG06,4099.6736032983745,OUT045
DRC36,2873.6134062419746,OUT045
FDV21,280.70692171986246,OUT019
FDB53,2509.5800291603446,OUT046
DRP47,576.7607705456683,OUT019
FDA14,2505.9114389884207,OUT013
DRC24,2524.652025812606,OUT035
FDW21,1621.8171617906464,OUT018
NCH29,1536.4102023458008,OUT046
FDU58,3129.024520465372,OUT013
FDY27,2882.628850598401,OUT017
FDV56,1661.8792205005823,OUT035
FDT59,3839.6342759556733,OUT046
FDB23,3767.2216698975553,OUT046
FDR49,764.6511196577433,OUT045
