Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1647.3016800420828,OUT049
FDW14,1361.5739129033727,OUT017
NCN55,572.6945014382657,OUT010
FDQ58,2473.4316442269123,OUT017
FDY38,5849.273087903225,OUT027
FDH56,1951.2863406911229,OUT046
FDL48,756.879540925173,OUT018
FDC48,2164.385186085704,OUT027
FDN33,1524.8909907058012,OUT045
FDA36,3101.4917700834717,OUT017
FDT44,1927.5987746512853,OUT017
FDQ56,1359.8611812479392,OUT045
NCC54,573.1070076897654,OUT019
FDU11,2019.3123537834479,OUT049
DRL59,866.8059598396096,OUT013
FDM24,2464.928023403826,OUT049
FDI57,3064.1694637928153,OUT045
DRC12,2964.0346088239353,OUT018
NCM42,2911.625631981367,OUT027
FDA46,510.4723483110282,OUT010
FDA31,2847.269624164335,OUT013
NCJ31,3867.154070715187,OUT035
FDG52,788.2823360372237,OUT046
NCL19,288.62902595680305,OUT019
FDS10,2973.1760678370683,OUT035
FDX22,566.4667582744584,OUT010
NCF19,757.7554681587119,OUT035
NCE06,2550.541691004409,OUT046
DRC27,3886.9983056274286,OUT046
FDE21,1963.0228677367993,OUT035
NCR42,131.49857668663986,OUT019
FDX51,3006.144753523296,OUT018
NCR06,610.7865113852674,OUT018
FDU31,5850.498765722126,OUT027
FDU59,2544.9720637682058,OUT017
FDR03,5849.936602386741,OUT027
FDS49,2068.8810266427195,OUT027
FDD48,265.64753110919986,OUT010
NCF18,3024.4428268085912,OUT017
NCD43,2844.4724198215144,OUT027
NCD54,2127.509962971642,OUT018
FDY19,265.878988357275,OUT010
NCY54,2859.2351304195317,OUT017
NCL19,2445.5853210837276,OUT018
FDP23,569.7733100487668,OUT010
FDC26,1746.4964269459795,OUT013
FDR14,131.49857668663986,OUT010
NCS41,3113.883473461149,OUT035
FDF41,3880.5485356782237,OUT035
FDU34,2044.1819501428283,OUT046
DRH11,964.3100360030897,OUT046
FDM03,1650.6651283851868,OUT013
FDS31,3047.950835781811,OUT017
FDJ20,1988.8935797525564,OUT017
FDV44,5154.523468261244,OUT027
FDG02,3106.865313529275,OUT049
FDA09,2978.4825820744745,OUT013
FDT04,696.4010877904931,OUT013
FDL58,570.766369579461,OUT019
FDE52,1381.749194269748,OUT045
FDW12,2489.158138530087,OUT035
FDL51,3656.5345590328616,OUT017
NCY42,3019.2180935511574,OUT027
FDR07,1548.1386741188192,OUT017
FDN40,2472.3826279943805,OUT045
FDB35,2693.9467134331985,OUT027
FDA22,2528.3083592063795,OUT017
NCL06,4136.600688816635,OUT046
FDI35,3048.2589174358986,OUT013
NCW42,3755.5593142198613,OUT045
NCX06,2974.429181514734,OUT049
FDC37,2885.7069490742583,OUT027
FDZ14,1945.0617918304622,OUT018
DRG49,3860.792296460455,OUT049
NCG06,4098.52358651585,OUT045
DRC36,2861.870385894243,OUT045
FDV21,279.6550031027453,OUT019
FDB53,2515.5601303007984,OUT046
DRP47,570.9353716011639,OUT019
FDA14,2470.198607234217,OUT013
DRC24,2546.208572811834,OUT035
FDW21,1616.3030970724737,OUT018
NCH29,1551.7861483756708,OUT046
FDU58,3098.96733608625,OUT013
FDY27,2868.4956950603982,OUT017
FDV56,1657.9009756536018,OUT035
FDT59,3837.5135566933764,OUT046
FDB23,3771.029810796622,OUT046
FDR49,757.9634345722623,OUT045
FDB03,573.6268775280821,OUT010
FDN39,2629.5465570159126,OUT045
FDX02,5852.758564407474,OUT027
FDQ16,2881.9666617739003,OUT027
FDU35,1551.9637884835404,OUT018
NCT29,2004.2348603892938,OUT013
FDZ27,788.8373461411253,OUT046
FDN57,2033.7066148938984,OUT017
FDA03,2440.8359721920815,OUT018
FDZ36,3122.283119105638,OUT045
NCU05,1396.966352513387,OUT013
FDT39,2394.8252216344467,OUT018
FDK60,1548.926714862102,OUT017
FDZ25,2766.856271435398,OUT017
FDG12,2081.3165717878883,OUT046
DRB01,504.80004252065726,OUT019
NCC43,5853.870347960853,OUT027
FDX13,568.6764453067725,OUT019
FDM22,864.8271698807777,OUT049
FDJ03,1092.169157194536,OUT027
FDU14,3788.9387527288077,OUT018
FDB33,382.8883870854244,OUT010
FDP27,3121.2548580478747,OUT046
FDO38,156.74052683117782,OUT010
FDE28,5853.870347960853,OUT027
FDO27,1523.1672820305898,OUT035
DRL23,2876.334003953551,OUT027
FDS28,963.8540134181112,OUT046
FDX24,1460.9722198054028,OUT013
FDZ02,1548.3470764960528,OUT035
FDL46,1918.3731150296153,OUT045
FDS60,4796.730296661974,OUT027
NCO06,592.3300895142673,OUT017
FDO16,1353.243411031919,OUT035
FDC60,1364.057897974397,OUT049
FDA48,3445.477619728455,OUT018
FDZ36,5152.049122676545,OUT027
FDK27,2031.9019255083808,OUT045
FDW23,603.4347264446147,OUT018
FDM14,1698.9160973196183,OUT018
FDM14,1653.2025994982332,OUT013
FDW60,2831.357801300656,OUT018
FDE21,1978.5010988311094,OUT013
NCM42,1660.037121416927,OUT035
FDY59,226.63592651795537,OUT010
DRI49,1312.5132421855506,OUT049
FDT28,364.71542242738303,OUT019
FDQ22,604.3530450653741,OUT018
FDR60,1278.8049866656227,OUT049
FDC50,235.56786372951376,OUT019
FDV24,2419.2825151692687,OUT013
DRF48,489.68963614618957,OUT010
FDQ47,633.1368482054522,OUT046
DRN36,1543.8237393904672,OUT049
NCY06,2007.5359702638766,OUT035
FDE52,1381.3608353959435,OUT035
NCB54,2000.719494630357,OUT045
NCF31,2499.604340351181,OUT035
FDJ08,5164.970437149593,OUT027
