Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1652.5847691478098,OUT049
FDW14,1365.4840954274182,OUT017
NCN55,609.5514596374885,OUT010
FDQ58,2472.8339192369754,OUT017
FDY38,6204.177647205134,OUT027
FDH56,1949.3568077180278,OUT046
FDL48,746.905094319735,OUT018
FDC48,2251.487160655349,OUT027
FDN33,1520.12861928268,OUT045
FDA36,3049.7149061050186,OUT017
FDT44,1957.1934918520049,OUT017
FDQ56,1357.7557624996361,OUT045
NCC54,624.5148665612151,OUT019
FDU11,2028.5359935878755,OUT049
DRL59,786.7387555314609,OUT013
FDM24,2467.622522687548,OUT049
FDI57,3084.397045914262,OUT045
DRC12,2994.8681873722644,OUT018
NCM42,2875.2159870310866,OUT027
FDA46,472.91487669579965,OUT010
FDA31,2870.268781526686,OUT013
NCJ31,3856.4428384777775,OUT035
FDG52,758.9113970969405,OUT046
NCL19,355.53859342826223,OUT019
FDS10,3024.5395279537997,OUT035
FDX22,528.5888518174379,OUT010
NCF19,758.9113970969405,OUT035
NCE06,2551.8076203011638,OUT046
DRC27,3912.965736670067,OUT046
FDE21,1963.0111853884102,OUT035
NCR42,64.88026657148686,OUT019
FDX51,3005.551997012346,OUT018
NCR06,598.1062553287519,OUT018
FDU31,5614.238711250881,OUT027
FDU59,2554.243570216891,OUT017
FDR03,5652.844521749415,OUT027
FDS49,2289.7935435105624,OUT027
FDD48,249.22975617966353,OUT010
NCF18,3077.296771257506,OUT017
NCD43,2513.967345545963,OUT027
NCD54,2052.211949253357,OUT018
FDY19,247.2948212298899,OUT010
NCY54,2870.070489284014,OUT017
NCL19,2410.1971860579206,OUT018
FDP23,506.5316798987111,OUT010
FDC26,1744.7079645045528,OUT013
FDR14,195.53200188905603,OUT010
NCS41,3104.3996794215714,OUT035
FDF41,3869.7554634253206,OUT035
FDU34,2039.5728328380785,OUT046
DRH11,857.4092897026641,OUT046
FDM03,1653.719167313037,OUT013
FDS31,3060.2308958147732,OUT017
FDJ20,2016.7170962743824,OUT017
FDV44,5284.8967976832755,OUT027
FDG02,3061.5503099327043,OUT049
FDA09,2984.887767913181,OUT013
FDT04,613.506951504778,OUT013
FDL58,615.6079423844566,OUT019
FDE52,1384.5284338226486,OUT045
FDW12,2502.9546295751993,OUT035
FDL51,3685.4683197995228,OUT017
NCY42,3358.1542440795533,OUT027
FDR07,1540.596126608095,OUT017
FDN40,2468.581679446662,OUT045
FDB35,2558.277462860273,OUT027
FDA22,2547.1055626785164,OUT017
NCL06,4078.2587384504063,OUT046
FDI35,3060.5086326011356,OUT013
NCW42,3755.125394400965,OUT045
NCX06,3006.7832151152256,OUT049
FDC37,2634.402728969428,OUT027
FDZ14,1901.9955462897906,OUT018
DRG49,3926.867992937685,OUT049
NCG06,4051.0618802581753,OUT045
DRC36,2880.381389425088,OUT045
FDV21,328.29809256421527,OUT019
FDB53,2495.837693389527,OUT046
DRP47,607.5290816381075,OUT019
FDA14,2483.690532125057,OUT013
DRC24,2531.7214210693746,OUT035
FDW21,1619.318739404823,OUT018
NCH29,1554.341510130442,OUT046
FDU58,3097.9826334422655,OUT013
FDY27,2893.217600156781,OUT017
FDV56,1660.9180160500052,OUT035
FDT59,3851.06487227711,OUT046
FDB23,3722.2653097421594,OUT046
FDR49,755.3352352020412,OUT045
FDB03,576.8854036032628,OUT010
FDN39,2601.887633997569,OUT045
FDX02,5857.716693204018,OUT027
FDQ16,2591.1359814568677,OUT027
FDU35,1542.80986595023,OUT018
NCT29,2024.6136230215695,OUT013
FDZ27,759.1700101611876,OUT046
FDN57,2043.2074327489186,OUT017
FDA03,2406.052820012975,OUT018
FDZ36,3089.233183342203,OUT045
NCU05,1292.4131984123985,OUT013
FDT39,2381.620769131174,OUT018
FDK60,1540.0004463038647,OUT017
FDZ25,2770.823221294872,OUT017
FDG12,2093.3492919708738,OUT046
DRB01,438.3352457818841,OUT019
NCC43,6274.970377469487,OUT027
FDX13,497.7342936598382,OUT019
FDM22,822.6934219856603,OUT049
FDJ03,1430.4863177559305,OUT027
FDU14,3592.874508347693,OUT018
FDB33,439.90585995234903,OUT010
FDP27,3105.752021886861,OUT046
FDO38,166.90979036646243,OUT010
FDE28,6304.53940235202,OUT027
FDO27,1520.4790004216204,OUT035
DRL23,2536.5779202745184,OUT027
FDS28,856.2626354565489,OUT046
FDX24,1449.2404240293945,OUT013
FDZ02,1538.8599411117186,OUT035
FDL46,1928.9239326270472,OUT045
FDS60,4727.843921231406,OUT027
NCO06,601.0125654089003,OUT017
FDO16,1363.5956514789802,OUT035
FDC60,1376.3303078891142,OUT049
FDA48,3527.2750904189593,OUT018
FDZ36,5101.159937892168,OUT027
FDK27,2041.977988034211,OUT045
FDW23,589.0535558094828,OUT018
FDM14,1666.0607605987848,OUT018
FDM14,1657.2762781360964,OUT013
FDW60,2836.395066578068,OUT018
FDE21,1967.5293719552308,OUT013
NCM42,1663.1372928647786,OUT035
FDY59,231.5688443509042,OUT010
DRI49,1298.5563177245967,OUT049
FDT28,330.33773684562385,OUT019
FDQ22,590.0006557595493,OUT018
FDR60,1265.388586623705,OUT049
FDC50,254.165425631762,OUT019
FDV24,2442.155809005694,OUT013
DRF48,590.2830574680017,OUT010
